الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
شقق البوابة للشقق الفندقية,الدمام,الشرقية,حي طيبة,طريق الملك عبدالله,3593,34682,+966138612400,mohammed@tatweer1.com
الجنادرية سويتس للوحدات السكنية المفروشة,الرياض,الرياض,حي العليا,الاحمر,8659,58627,+966112545555,info@janasuites.com
قاردينيا إن,جدة,مكة المكرمة,النزهه,الملك فهد,7532,,012-6586611,ammar.2@hotmail.com
مؤسسة جلوريا إن الفندقية,الرياض,الرياض,المرقب,البطحاء,6075,12645,+9665100222,misharyy@hotmail.com
شقق تاج الخليج للشقق المخدومه,طريف,الحدود الشمالية,حي الشفا,-,5439,4608,+966537604288,mhojalan@hotmail.com
شقق ابيات الشمال للشقق المخدومة,رفحاء,الحدود الشمالية,الشمال,الشمال 13,3144,76321,+966502056289,fahd25251@outlook.sa
سديم الليل فرع اثنين,جدة,مكة المكرمة,حي الرياض,غير مسمى,0,,012-6220284,sahejazi2002@yahoo.com
مؤسسة نسايم ليل المصيف للنزل السياحيه,الطائف,مكة المكرمة,الشفا,طريق المطار,1,26800,+966509617514,hlop.medical@gmail.com
الامتياز الراقي,جدة,مكة المكرمة,الكندرة,طريق الملك فهد,22,,012-6301936,tareek1001@hotmail.com
منتجع تاله للترفية,الدرعية,الرياض,العمارية,الشارع العام,5018,0000,+966558857880,ralbatli@gmail.com
شقق قمة المواسم للوحدات السكنية,الدمام,الشرقية,حي احد,الملك سعود,2107,32264,+966138080087,TOPTEL-2019@HOTMAIL.COM
زهرة رغدان الحديثة للوحدات السكنية المفروشة,الباحة,الباحة,رغدان,طريق الملك عبد لعزيز,7266,,017-7271041,alnasser1956@hotmail.com
فندق روابي الامارات,العاصمة المقدسة,مكة المكرمة,حي الهنداوية,Al Mansur,8076,2309,+966125481051,m-aa4@hotmail.com
فندق وقف الصافي الفندقية,المدينة المنورة,المدينة المنورة,حي المناخة,شارع الزبير بن العوام,20,6782,+966148196077,info@bosphorus-group.com
نجم الليل,القياس,جازان,الكدرة,العام,1,,017-3460433,hadi70509000@gmail.com
يا هلا للوحدات السكنية المفروشة,جدة,مكة المكرمة,الزهراء,حراء,9999,,012-6921300,y_h@windowslive.com
شركة القصر للشقق المخدومة (شركة شخص واحد),خميس مشيط,عسير,حي الظرفة,الامام محمد بن سعود,7317,3380,+966172214214,riyd1418@GMAIL.COM
شقق محمد مشبب القحطاني للوحدات السكنية,العيدابي,جازان,العيدابي,العام,6179,0,+966173140000,alqahtani.mbm@hotmail.com
فندق بهانس,بيشة,عسير,حي الموسى,الشارع العام,0,,017-6201313,14bhanis@gmail.com
راديسون بلو ريزيدنس الظهران للشقق الفندقية,الخبر,الشرقية,حي العليا,18ب,2882,4292,+966138974444,info.residence.dhahran@radissonblu.com
ماربيلا للوحدات السكنية المفروشة,الرياض,الرياض,قرطبة,خالد بن الوليد,2882,,011-4151199,NAIF5544@HOTMAIL.COM
فندق سامي سندي,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,0,,014-5659993,samisndi@hotmail.com
فندق جوهره الفردوس التوبة,العاصمة المقدسة,مكة المكرمة,المسيال,المسفلة,0,,012-5344997,waht-aladham@hotmail.com
فندق أبراج القصواء,العاصمة المقدسة,مكة المكرمة,حي الروابي,Ajyad,8538,24124,+966011125478,batayah_tr@hotmail.com
شقق كيان للشقق المخدومة,جدة,مكة المكرمة,الواحه,السامر,1,23345,+966126938833,kayan.hotel2020@gmail.com
شقق اضواء السليل للوحدات السكنية,السليل,الرياض,حي الروضة,عائشة بنت ابي بكر,2267,11913,+966117820122,m941_@mhotmail.com
نجوم الديار,الرياض,الرياض,صناعية ثانية,صناعية ثانية,20002,,011-4981410,khaldoon55@hotmail.com
تيماء الششة,العاصمة المقدسة,مكة المكرمة,الششة,العام,0,,014-5603444,hassam99@hotmail.com
شقق اجنحة المغيب للشقق المخدومة,الرياض,الرياض,التعاون,عثمان بن عفان,682,8254,+966114177733,almagheb2@gmail.com
شقق دار إرفاد للوحدات السكنية المفروشة,خميس مشيط,عسير,الوفاء,الملك عبدالله,5134,5134,+966172216167,rfaidi08@gmail.com
قصر لمسات,جدة,مكة المكرمة,الروضة,قاسم زينل,9,,012-6074402,walood88@live.com
أديم,الهفوف,الشرقية,الرقيقة,الأمير نايف بن عبدالعزيز,0,,013-5653417,SMDS1970@HOTMAIL.COM
مار الضيافة,جدة,مكة المكرمة,المروة,عبدالرحمن الخزاعي,5213,,012-6075994,moghramys@gmail.com
فندق الكامل الحديث,جدة,مكة المكرمة,البحرة,العام,1,,012-2644485,ramzi-sa@hotmail.com
زهرة المنار للوحدات السكنية,بحر ابو سكينة,عسير,طريق خميس البحر,خميس البحر,3254,,017-2850000,binhendi@tri.net.sa
فندق عايد عيد الصاعدي,العاصمة المقدسة,مكة المكرمة,النزهة,النزهة العام,0,,014-5449541,talal6763@gmail.com
فندق حياة رضوى,ينبع,المدينة المنورة,ب 5,الملك عبدالعزيز,2800,,014-3904567,alsobhiest@yahoo.com
غصن السلام,أبو عريش,جازان,النهضة,العام,0,,017-3240325,rose.ksa2@gmail.com
شقق قصر سرايا للوحدات السكنية,الشقيق,جازان,الشقيق,العام,1,5052,+966173431636,modasd2007@gmail.com
فندق صفوة البيت المحبس الفندقية,العاصمة المقدسة,مكة المكرمة,حي العزيزية,محبس الجن,4478,6477,+966125582983,homoidan11@gmail.com
السراج الحديث,جدة,مكة المكرمة,المنتزهات,مكة القديم,249093,,012-6214455,s.alradi.sa@gmail.com
منتجع النادي البحري,الدمام,الشرقية,الجوهرة,الكورنيش,3826,3098,+966138372222,abuomar1055noc@hotmail.com
فندق احمد حسن حموده,العاصمة المقدسة,مكة المكرمة,الجميزة,طريق المسجد الحرام,6414,,014-5756111,hamudah_group@hotmail.com
هدوء المساكن,الرياض,الرياض,اليرموك الغربي,بغداد,111222111,,011-2378886,r9sa@hotmail.com
بودل,الخبر,الشرقية,العقربية,الامير حمود بن عبدالعزيز,1683,75,+966920000666,exe.dir@boudl.com
فندق قصر الاندلس الفندقية,المدينة المنورة,المدينة المنورة,قربان,الحارث السهمي,11,3269,+966568219461,al-andalus-al-raqi@hotmail.com
فندق زوار البيت,العاصمة المقدسة,مكة المكرمة,حي اجياد,المصافي,4543,9134,+966125778555,mr.fahad@hotmail.com
فندق منازل الفتح الفندقية,العاصمة المقدسة,مكة المكرمة,الغزة,العام,2,971,+966125333368,manazil.group1@gmail.com
فندق البلد الطيب الفندقية,العاصمة المقدسة,مكة المكرمة,العزيزية,عبدالله بن عبيد,3908,4500,+9665540600,HUMAIDAN_EST@HOTMAIL.COM
شقق عنوان العرب للشقق المفروشة,الرياض,الرياض,حي المغرزات,الامير مقرن بن عبدالعزيز,3287,7138,+966112385548,newlife_sm@hotmail.com
بريرا,الدمام,الشرقية,الشاطئ الشرقي,الأمير محمد بن فهد,578,,013-8348321,hr.dir@boudl.com
شقق الاجنحة الماسية للشقق المفروشة,الرياض,الرياض,حي ظهرة لبن,حيفا,8126,1122,+966114305011,diamondsuiteshotel@gmail.com
كنان,الرياض,الرياض,المعيزيلة,البسالة,1125,,011-2365155,fahadmalruwisan@gmail.com
ايوان ابها,أبها,عسير,السحاب,العام,2665,,017-2266613,ajith5511@gmail.com
فندق شارز,بريدة,القصيم,الصفراء,داخل حي,1,,016-3253545,akmak1407@hotmail.com
شركة بتول اجياد الفندقية,العاصمة المقدسة,مكة المكرمة,حي الروابي,شارع أجياد,8440,4218,+966562503695,cfo@batoul-dh.com
فندق نزل رويال,المدينة المنورة,المدينة المنورة,حي بضاعة,ابى عبيده بن الجراح رضى الله عنه,2842,7091,+966501310000,salman@mohysen.com
شقق بنان للشقق الفندقية,تبوك,تبوك,حي المروج الثاني,مروج الامير,7142,47315,+966144500099,bananhotelsuite@gmail.com
فندق راما المدينه,المدينة المنورة,المدينة المنورة,بني خدره,عبدالله بن عبدالسلام,27350,5988,+966148181111,mansoor8808@hotmail.com
هبة الله منى,العاصمة المقدسة,مكة المكرمة,العزيزية,شارع العزيزية صدقي,98,,014-5347949,aljaroshi-offi@hotmail.com
شركة الماسة الخاصة المحدودة,العاصمة المقدسة,مكة المكرمة,المعابدة,الملك فهد,4012,4012,+966590901312,ho@almassagroup.com
الارض الطيبة الاول,العاصمة المقدسة,مكة المكرمة,اجياد السد,اجياد السد,7180,,014-5500134,AL-RIFAA_OMRAN@LIVE.COM
شقق بهجه الجوف للشقق المفروشة,سكاكا,الجوف,الزهور,الملك خالد,6381,6381,+966146243452,baheteljouf@gmail.com
شقق نزل الديرة للشقق المفروشة,جدة,مكة المكرمة,حي السلامة,السلامه,3116,10593,+966126911999,hameed9992009@hotmail.com
شقق ريبال للوحدات السكنية,الخرج,الرياض,المنتزه,الملك فهد,1,7684,+966115444546,moder270@gmail.com
المهيدب للوحدات السكنية المفروشة,حفر الباطن,الشرقية,الفيصلية,طريق الملك فهد,1,,013-7210777,hazem-ramadan@windowslive.com
قصر الفنار2,الرياض,الرياض,الصحافه,عبدالله بن صنيتان ال سعود,16,,011-4891728,fnr662013@hotmail.com
مؤسسة جوان النعيرية للوحدات السكنية المفروشة,النعيرية,الشرقية,الزهور,الملك عبدالله بن عبدالعزيز,2591,2591,+966504852199,shudaid.2030@gmail.com
شقق حديقة المدينه للوحدات السكنية المفروشة,الرياض,الرياض,حي السليمانية,ابي بكر الرازي,2764,42786,+966112918999,hr@gardencity.sa
شركة الجوزاء الفندقية شركة شخص واحد,بريدة,القصيم,حي الصفراء,طريق الملك سعود,3510,0,+966163810470,aljuza9999@gmail.com
شركة فندق توليب ان كورنيش الدمام,البديع,الشرقية,الشاطئ,الياقوت,6922,,013-8096000,reservations@hdg.sa
شركة فرسان اجياد للخدمات الفندقيه,العاصمة المقدسة,مكة المكرمة,اجياد,بير بليلة,4706,24233,+966125301928,tideas@outlook.sa
شقق نزل الجزيرة للشقق المفروشة,حوطة بني تميم,الرياض,المحمديه,الملك فهد,5208,9137,+966115554215,moha69050@gmail.com
مصيف الخير,الطائف,مكة المكرمة,معشي,الملك فيصل,15,,012-7348000,abrhem558@hotmail.com
فندق ملينيوم كوبثورن النسيم,العاصمة المقدسة,مكة المكرمة,حي النسيم,النسيم,3754,3210,+966125509700,effat.felemban@millenniumhotels.com
شقق نجوم الجزيرة للشقق المخدومة,تبوك,تبوك,حي العليا,طريق الملك عبدالعزيز,3594,112,+966144242888,saeed15151@hotmail.com
فندق راحة السلام,بريدة,القصيم,شرق الخبيب,العام,7493,52361,+966163693333,a1023370933@gmail.com
